Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"Ks,Kc",,1.0,0.0,0.0,156.52,16652800,0.0,71.902,16.195999999999998,10.638,0.0,0.0,1.008,0.256,0.0,0.0
"Ks,Qc",,0.35,0.58,0.06,4.94,1494180,53.237,35.502,4.055000000000001,1.5559999999999998,0.6459999999999999,0.0,0.094,0.006,0.0,0.0
"Kc,Qc",,0.36,0.57,0.06,9.33,1933800,52.464,35.533,4.02,1.5610000000000002,0.624,0.845,0.076,0.013,0.005,0.004
"Ks,9c",,0.22,0.59,0.17,-2.97,701980,47.846,34.531,4.04,1.5939999999999999,0.337,0.0,0.084,0.009000000000000001,0.0,0.0
"Kc,9c",,0.23,0.58,0.18,0.54,1054110,46.976,34.679,4.056,1.617,0.35200000000000004,0.8580000000000001,0.087,0.012,0.004,0.0
"Ks,5c",,0.18,0.76,0.04,-8.98,101000,31.587,18.622,3.444,1.414,0.0,0.0,0.093,0.011000000000000001,0.0,0.0
"Kc,5c",,0.2,0.74,0.05,-6.29,370340,33.273,19.194,3.557,1.48,0.0,0.844,0.097,0.013,0.0,0.0
"9s,9c",,0.28,0.0,0.71,84.83,9483300,0.0,71.789,16.076999999999998,10.893,0.0,0.0,0.988,0.253,0.0,0.0
"9s,8c",,0.1,0.67,0.22,-7.49,249970,27.233,26.387,3.266,1.331,1.08,0.0,0.077,0.012,0.0,0.0
"9c,8c",,0.11,0.65,0.23,-3.55,643950,29.612,27.974,3.515,1.3050000000000002,1.111,0.814,0.1,0.012,0.021,0.0
"9s,5c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9c,5c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5s,5c",,0.28,0.71,0.0,21.61,3161580,0.0,0.0,16.249,10.603,0.0,0.0,1.032,0.23800000000000002,0.0,0.0
"5s,4c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5c,4c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
