Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"Ks,Kc",,1.0,0.0,0.0,62.51,7251560,0.0,71.71,16.169,10.877,0.0,0.0,1.005,0.23900000000000002,0.0,0.0
"Ks,Qc",,0.35,0.58,0.06,-5.09,490040,53.512,35.397,4.014,1.482,0.643,0.0,0.089,0.009000000000000001,0.0,0.0
"Kc,Qc",,0.36,0.57,0.06,-1.63,836760,52.40899999999999,35.575,4.013,1.553,0.653,0.804,0.10200000000000001,0.012,0.002,0.004
"Ks,9c",,0.23,0.58,0.18,-10.42,-42200,53.517,35.471000000000004,4.03,1.5730000000000002,0.316,0.0,0.084,0.011000000000000001,0.0,0.0
"Kc,9c",,0.24,0.57,0.18,-7.84,215840,52.588,35.77,3.9690000000000003,1.587,0.28900000000000003,0.8240000000000001,0.099,0.004,0.006999999999999999,0.0
"Ks,5c",,0.23,0.71,0.06,-15.8,-580880,54.038,23.396,3.984,1.5730000000000002,0.0,0.0,0.091,0.012,0.0,0.0
"Kc,5c",,0.23,0.7,0.06,-13.43,-343920,52.897000000000006,23.205000000000002,4.0280000000000005,1.554,0.0,0.881,0.097,0.013999999999999999,0.0,0.0
"9s,9c",,0.28,0.0,0.71,33.57,4356920,0.0,71.832,16.123,10.818999999999999,0.0,0.0,0.9939999999999999,0.232,0.0,0.0
"9s,8c",,0.11,0.57,0.31,-13.19,-319560,52.495999999999995,35.68,4.005,1.54,1.272,0.0,0.11100000000000002,0.02,0.0,0.0
"9c,8c",,0.12,0.56,0.3,-10.11,-11240,51.833,35.437999999999995,3.9989999999999997,1.5599999999999998,1.315,0.878,0.084,0.012,0.02,0.0
"9s,5c",,0.11,0.7,0.18,-19.99,-999160,53.547999999999995,23.449,4.038,1.5859999999999999,0.33,0.0,0.101,0.01,0.0,0.0
"9c,5c",,0.11,0.69,0.18,-17.81,-781400,52.602000000000004,23.354,4.006,1.544,0.319,0.8210000000000001,0.08099999999999999,0.004,0.006,0.0
"5s,5c",,0.28,0.72,0.0,5.07,1507040,0.0,0.0,16.016,10.728,0.0,0.0,1.02,0.256,0.0,0.0
"5s,4c",,0.12,0.81,0.06,-22.99,-1299240,52.34799999999999,11.221,4.025,1.567,1.332,0.0,0.08499999999999999,0.01,0.0,0.0
"5c,4c",,0.12,0.81,0.06,-20.26,-1026800,51.774,11.055,4.031,1.543,1.239,0.84,0.091,0.009000000000000001,0.017,0.0
