Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"Kc,Jd",,0.35,0.58,0.06,4.93,1493860,53.262,35.417,3.9669999999999996,1.58,0.606,0.0,0.105,0.011000000000000001,0.0,0.0
"Kc,Jd",13x,0.31,0.62,0.06,-0.75,924460,56.675,32.844,3.2620000000000005,1.174,0.672,0.0,0.051000000000000004,0.006999999999999999,0.0,0.0
"Kc,Jd","13x,13x",0.27,0.65,0.07,-6.03,396860,60.313,30.066,2.2880000000000003,1.006,0.767,0.0,0.013,0.011000000000000001,0.0,0.0
"Kc,Jd","13x,13x,13x",0.22,0.7,0.07,-11.51,-151220,64.266,26.851999999999997,1.212,1.088,0.79,0.0,0.0,0.005,0.0,0.0
"Kc,Jd",2x,0.36,0.57,0.06,6.26,1626660,52.585,36.318,4.076,1.644,0.738,0.0,0.107,0.01,0.0,0.0
"Kc,Jd","2x,14x,3x",0.37,0.56,0.06,7.99,1799560,51.737,37.061,4.412,1.743,0.736,0.0,0.132,0.011000000000000001,0.0,0.0
"Kc,Jd","2x,14x,3x,12x,4x,10x",0.38,0.54,0.07,9.93,1993200,50.56,38.254,4.749,1.8880000000000001,0.45199999999999996,0.0,0.15,0.018000000000000002,0.0,0.0
"Kc,Jd","2x,14x,3x,12x,4x,10x,5x,9x",0.39,0.53,0.06,11.43,2143260,49.806,38.851,5.07,2.097,0.43299999999999994,0.0,0.155,0.008,0.0,0.0
"Kc,Jd","2x,14x,3x,12x,4x,10x,5x,9x,6x,8x",0.41,0.52,0.05,14.15,2415520,48.751,38.997,5.369,2.2849999999999997,0.517,0.0,0.20600000000000002,0.013,0.0,0.0
"Kc,2d",,0.18,0.76,0.05,-9.16,83030,31.927,18.83,3.4160000000000004,1.375,0.0,0.0,0.077,0.013,0.0,0.0
"Kc,2d",13x,0.14,0.8,0.05,-14.58,-458920,33.943,15.872,2.7390000000000003,1.039,0.0,0.0,0.059000000000000004,0.003,0.0,0.0
"Kc,2d","13x,13x",0.1,0.83,0.05,-19.46,-946180,36.153999999999996,13.315,1.965,0.8630000000000001,0.0,0.0,0.013999999999999999,0.008,0.0,0.0
"Kc,2d","13x,13x,13x",0.06,0.88,0.05,-24.74,-1474840,38.397999999999996,9.828000000000001,1.012,0.9339999999999999,0.0,0.0,0.0,0.003,0.0,0.0
"Kc,2d",2x,0.18,0.76,0.05,-9.89,10320,33.915,19.697,2.804,1.077,0.0,0.0,0.047,0.006999999999999999,0.0,0.0
"Kc,2d","2x,14x,3x",0.18,0.75,0.05,-9.24,75050,33.835,20.327,2.983,1.131,0.0,0.0,0.063,0.004,0.0,0.0
"Kc,2d","2x,14x,3x,12x,4x,10x",0.19,0.74,0.06,-8.33,166100,33.46,21.054000000000002,3.15,1.207,0.0,0.0,0.055999999999999994,0.006999999999999999,0.0,0.0
"Kc,2d","2x,14x,3x,12x,4x,10x,5x,9x",0.2,0.73,0.05,-7.07,292540,33.683,21.744,3.386,1.323,0.0,0.0,0.065,0.009000000000000001,0.0,0.0
"Kc,2d","2x,14x,3x,12x,4x,10x,5x,9x,6x,8x",0.22,0.73,0.04,-5.49,450340,32.394,21.532999999999998,3.608,1.4829999999999999,0.0,0.0,0.073,0.015,0.0,0.0
