Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"Kc,Jd",,0.35,0.58,0.06,-5.02,497080,53.644999999999996,35.364000000000004,3.934,1.547,0.653,0.0,0.10200000000000001,0.01,0.0,0.0
"Kc,Jd",13x,0.31,0.61,0.06,-8.63,136160,56.513999999999996,33.084,3.222,1.207,0.7080000000000001,0.0,0.056999999999999995,0.004,0.0,0.0
"Kc,Jd","13x,13x",0.27,0.65,0.07,-12.47,-248000,60.121,30.057000000000002,2.32,0.983,0.8109999999999999,0.0,0.025,0.01,0.0,0.0
"Kc,Jd","13x,13x,13x",0.22,0.7,0.07,-16.9,-690160,64.42,26.556,1.195,1.08,0.7979999999999999,0.0,0.0,0.003,0.0,0.0
"Kc,Jd",2x,0.36,0.57,0.06,-3.68,631840,52.53,36.357,4.108,1.727,0.696,0.0,0.109,0.011000000000000001,0.0,0.0
"Kc,Jd","2x,14x,3x",0.37,0.56,0.06,-3.04,695600,51.973,36.986000000000004,4.331,1.706,0.7080000000000001,0.0,0.11199999999999999,0.015,0.0,0.0
"Kc,Jd","2x,14x,3x,12x,4x,10x",0.38,0.54,0.07,-1.74,824960,50.786,37.963,4.656,1.9449999999999998,0.514,0.0,0.14200000000000002,0.018000000000000002,0.0,0.0
"Kc,Jd","2x,14x,3x,12x,4x,10x,5x,9x",0.4,0.53,0.06,-0.33,966720,49.893,38.834999999999994,5.118,1.9900000000000002,0.49899999999999994,0.0,0.153,0.016,0.0,0.0
"Kc,Jd","2x,14x,3x,12x,4x,10x,5x,9x,6x,8x",0.42,0.52,0.05,1.59,1159840,48.426,39.432,5.37,2.226,0.562,0.0,0.184,0.02,0.0,0.0
"Kc,2d",,0.22,0.71,0.06,-15.77,-577200,53.733,23.244,4.15,1.5789999999999997,0.0,0.0,0.092,0.013,0.0,0.0
"Kc,2d",13x,0.18,0.75,0.06,-20.36,-1036200,57.343999999999994,20.152,3.1649999999999996,1.199,0.0,0.0,0.055999999999999994,0.008,0.0,0.0
"Kc,2d","13x,13x",0.12,0.8,0.06,-25.12,-1512920,60.923,16.292,2.326,1.0030000000000001,0.0,0.0,0.02,0.006,0.0,0.0
"Kc,2d","13x,13x,13x",0.06,0.86,0.07,-30.18,-2018400,65.328,11.657,1.2109999999999999,1.098,0.0,0.0,0.0,0.011000000000000001,0.0,0.0
"Kc,2d",2x,0.22,0.7,0.06,-16.66,-666160,57.135000000000005,24.62,3.325,1.213,0.0,0.0,0.056999999999999995,0.002,0.0,0.0
"Kc,2d","2x,14x,3x",0.23,0.69,0.07,-15.9,-590560,56.482,25.535000000000004,3.354,1.309,0.0,0.0,0.052,0.006999999999999999,0.0,0.0
"Kc,2d","2x,14x,3x,12x,4x,10x",0.24,0.69,0.07,-14.95,-495400,55.064,25.978,3.646,1.37,0.0,0.0,0.074,0.013,0.0,0.0
"Kc,2d","2x,14x,3x,12x,4x,10x,5x,9x",0.25,0.68,0.07,-13.95,-395960,54.437000000000005,26.606999999999996,3.916,1.4869999999999999,0.0,0.0,0.076,0.006999999999999999,0.0,0.0
"Kc,2d","2x,14x,3x,12x,4x,10x,5x,9x,6x,8x",0.26,0.67,0.05,-12.9,-290560,53.503,26.533,4.152,1.628,0.0,0.0,0.092,0.013,0.0,0.0
