Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"10c,6d",,0.09,0.68,0.22,-8.84,115610,27.974,26.531,3.266,1.327,0.32299999999999995,0.0,0.094,0.012,0.0,0.0
"10c,6d",10x,0.08,0.71,0.2,-11.87,-187710,29.759,24.834999999999997,2.709,0.968,0.345,0.0,0.048,0.005,0.0,0.0
"10c,6d","10x,10x",0.07,0.74,0.17,-14.73,-473140,31.838,22.720000000000002,1.729,0.828,0.359,0.0,0.012,0.006999999999999999,0.0,0.0
"10c,6d","10x,10x,10x",0.07,0.77,0.15,-16.91,-691250,33.690999999999995,20.179,0.9369999999999999,0.856,0.40299999999999997,0.0,0.0,0.005,0.0,0.0
"10c,6d","10x,6x",0.08,0.74,0.17,-14.78,-478220,31.886,22.59,2.046,0.63,0.37,0.0,0.034999999999999996,0.0,0.0,0.0
"10c,6d","10x,6x,10x,6x",0.07,0.81,0.11,-19.67,-967380,36.268,17.325,0.919,0.186,0.409,0.0,0.0,0.0,0.0,0.0
"10c,6d",2x,0.09,0.67,0.23,-8.07,192860,28.608,27.525,3.4770000000000003,1.395,0.346,0.0,0.105,0.011000000000000001,0.0,0.0
"10c,6d","2x,14x,3x",0.1,0.66,0.23,-6.98,301750,27.964,27.875,3.7769999999999997,1.5110000000000001,0.394,0.0,0.122,0.01,0.0,0.0
"10c,6d","2x,14x,3x,12x,4x,11x",0.09,0.65,0.25,-5.84,415170,26.608999999999998,28.768,3.9739999999999998,1.66,0.52,0.0,0.129,0.016,0.0,0.0
"10c,6d","2x,14x,3x,12x,4x,11x,5x,9x",0.1,0.64,0.25,-4.46,553670,26.987,29.326999999999998,4.328,1.7739999999999998,0.42900000000000005,0.0,0.169,0.019,0.0,0.0
"10c,6d","2x,14x,3x,12x,4x,11x,5x,9x,7x,8x",0.11,0.64,0.25,-3.56,643690,26.377,29.21,4.392,1.8950000000000002,0.299,0.0,0.184,0.025,0.0,0.0
