Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"As,Ac",,1.0,0.0,0.0,155.98,16598100,0.0,71.97200000000001,16.067,10.735,0.0,0.0,0.979,0.247,0.0,0.0
"As,Kc",,0.35,0.58,0.06,4.4,1440580,53.46300000000001,40.573,4.003,1.548,0.312,0.0,0.091,0.01,0.0,0.0
"As,Qc",,0.35,0.58,0.06,4.56,1456280,53.378,40.527,4.083,1.553,0.337,0.0,0.116,0.006,0.0,0.0
"As,Jc",,0.35,0.58,0.06,4.43,1443180,53.43,40.418,4.237,1.521,0.292,0.0,0.091,0.011000000000000001,0.0,0.0
"As,10c",,0.22,0.59,0.18,-2.88,711390,47.746,38.396,4.037,1.608,0.337,0.0,0.086,0.011000000000000001,0.0,0.0
"As,9c",,0.22,0.59,0.17,-3.36,663450,48.058,38.295,4.098,1.609,0.0,0.0,0.094,0.011000000000000001,0.0,0.0
"As,8c",,0.22,0.59,0.17,-3.34,665080,47.875,38.513,4.037,1.5959999999999999,0.0,0.0,0.08800000000000001,0.013,0.0,0.0
"As,7c",,0.22,0.59,0.17,-3.59,639950,47.900999999999996,38.562999999999995,4.021,1.6019999999999999,0.0,0.0,0.076,0.012,0.0,0.0
"As,6c",,0.22,0.59,0.18,-3.49,650790,47.871,38.422,4.093999999999999,1.5970000000000002,0.0,0.0,0.099,0.01,0.0,0.0
"As,5c",,0.18,0.76,0.04,-8.93,106380,31.707,29.425,3.4680000000000004,1.375,0.0,0.0,0.092,0.013999999999999999,0.0,0.0
"As,4c",,0.18,0.76,0.05,-9.01,98060,31.777,29.444,3.547,1.379,0.0,0.0,0.092,0.009000000000000001,0.0,0.0
"As,3c",,0.18,0.76,0.05,-9.24,75690,31.696999999999996,29.613,3.4709999999999996,1.3719999999999999,0.0,0.0,0.083,0.006999999999999999,0.0,0.0
"As,2c",,0.19,0.76,0.04,-8.51,148170,31.562,29.712,3.524,1.439,0.0,0.0,0.089,0.017,0.0,0.0
"Ks,Kc",,1.0,0.0,0.0,156.49,16649200,0.0,71.90299999999999,16.089000000000002,10.717,0.0,0.0,1.046,0.245,0.0,0.0
"Ks,Qc",,0.35,0.58,0.06,5.32,1532440,53.229000000000006,40.33,4.036,1.593,0.703,0.0,0.098,0.011000000000000001,0.0,0.0
"Ks,Jc",,0.36,0.57,0.06,5.4,1540300,52.991,40.644000000000005,4.064,1.554,0.638,0.0,0.099,0.01,0.0,0.0
"Ks,10c",,0.23,0.59,0.18,-2.12,787520,47.276,38.455,4.064,1.569,0.668,0.0,0.083,0.015,0.0,0.0
"Ks,9c",,0.22,0.59,0.17,-2.97,702040,47.667,38.326,4.067,1.532,0.314,0.0,0.083,0.017,0.0,0.0
"Ks,8c",,0.22,0.59,0.18,-3.6,639670,47.865,38.609,4.0169999999999995,1.5970000000000002,0.0,0.0,0.104,0.005,0.0,0.0
"Ks,7c",,0.22,0.6,0.18,-3.98,601280,48.065000000000005,38.448,4.009,1.5070000000000001,0.0,0.0,0.101,0.006,0.0,0.0
"Ks,6c",,0.22,0.6,0.17,-4.01,598300,48.414,38.12,3.9849999999999994,1.624,0.0,0.0,0.075,0.006,0.0,0.0
"Ks,5c",,0.18,0.76,0.04,-8.86,113240,31.662000000000003,29.441,3.5130000000000003,1.3719999999999999,0.0,0.0,0.078,0.013,0.0,0.0
"Ks,4c",,0.18,0.76,0.04,-8.92,107180,31.843,29.674,3.4459999999999997,1.421,0.0,0.0,0.089,0.011000000000000001,0.0,0.0
"Ks,3c",,0.18,0.76,0.04,-8.89,110260,32.126,29.063,3.5130000000000003,1.436,0.0,0.0,0.11100000000000002,0.01,0.0,0.0
"Ks,2c",,0.18,0.76,0.05,-9.12,87160,31.861,29.412,3.466,1.409,0.0,0.0,0.07100000000000001,0.013,0.0,0.0
"Qs,Qc",,1.0,0.0,0.0,157.16,16716800,0.0,71.662,16.241,10.838000000000001,0.0,0.0,0.9950000000000001,0.264,0.0,0.0
"Qs,Jc",,0.36,0.57,0.06,5.57,1557440,52.854,40.515,3.9600000000000004,1.559,1.0,0.0,0.104,0.008,0.0,0.0
"Qs,10c",,0.23,0.58,0.18,-1.49,850230,46.996,38.53,4.091,1.5939999999999999,0.9490000000000001,0.0,0.1,0.011000000000000001,0.0,0.0
"Qs,9c",,0.23,0.59,0.17,-2.45,754370,47.607,38.238,4.061,1.6,0.6629999999999999,0.0,0.08499999999999999,0.005,0.0,0.0
"Qs,8c",,0.22,0.59,0.18,-2.95,704820,47.707,38.523,4.08,1.532,0.294,0.0,0.107,0.006999999999999999,0.0,0.0
"Qs,7c",,0.22,0.59,0.17,-3.63,636470,48.043,38.371,4.131,1.539,0.0,0.0,0.074,0.011000000000000001,0.0,0.0
"Qs,6c",,0.22,0.59,0.18,-3.4,659440,47.881,38.612,4.122,1.5,0.0,0.0,0.1,0.009000000000000001,0.0,0.0
"Qs,5c",,0.18,0.76,0.05,-9.04,94910,31.962000000000003,29.569000000000003,3.4160000000000004,1.3599999999999999,0.0,0.0,0.093,0.012,0.0,0.0
"Qs,4c",,0.18,0.76,0.05,-9.2,79750,31.663000000000004,29.443,3.437,1.377,0.0,0.0,0.076,0.008,0.0,0.0
"Qs,3c",,0.18,0.76,0.04,-9.09,90200,32.185,29.263,3.528,1.346,0.0,0.0,0.098,0.01,0.0,0.0
"Qs,2c",,0.18,0.76,0.04,-8.99,99910,31.604,29.226000000000003,3.4549999999999996,1.38,0.0,0.0,0.095,0.008,0.0,0.0
"Js,Jc",,1.0,0.0,0.0,156.69,16669100,0.0,72.001,16.125999999999998,10.636,0.0,0.0,0.9650000000000001,0.272,0.0,0.0
"Js,10c",,0.23,0.58,0.17,-0.75,924460,46.47,38.586999999999996,4.073,1.528,1.2970000000000002,0.0,0.11399999999999999,0.013,0.0,0.0
"Js,9c",,0.23,0.58,0.17,-1.56,843190,46.958,38.629000000000005,4.029,1.518,1.004,0.0,0.097,0.008,0.0,0.0
"Js,8c",,0.23,0.59,0.17,-2.2,779880,47.133,38.634,4.026,1.536,0.685,0.0,0.1,0.008,0.0,0.0
"Js,7c",,0.22,0.59,0.17,-2.95,704190,47.682,38.344,3.9859999999999998,1.593,0.344,0.0,0.094,0.008,0.0,0.0
"Js,6c",,0.22,0.59,0.18,-3.43,656280,47.934,38.609,4.052,1.599,0.0,0.0,0.08499999999999999,0.009000000000000001,0.0,0.0
"Js,5c",,0.18,0.76,0.05,-8.94,105870,31.735999999999997,29.354000000000003,3.5340000000000003,1.359,0.0,0.0,0.093,0.016,0.0,0.0
"Js,4c",,0.18,0.76,0.05,-8.99,100750,31.872,29.233999999999998,3.521,1.396,0.0,0.0,0.086,0.013,0.0,0.0
"Js,3c",,0.18,0.76,0.04,-8.81,118450,31.779000000000003,29.162,3.592,1.435,0.0,0.0,0.083,0.01,0.0,0.0
"Js,2c",,0.18,0.76,0.04,-9.26,73870,31.818,29.311999999999998,3.457,1.37,0.0,0.0,0.077,0.009000000000000001,0.0,0.0
"10s,10c",,0.28,0.0,0.71,83.8,9379900,0.0,71.724,16.145,10.923,0.0,0.0,0.9860000000000001,0.22200000000000003,0.0,0.0
"10s,9c",,0.1,0.67,0.22,-7.24,274930,26.966,26.982,3.2230000000000003,1.304,1.2449999999999999,0.0,0.094,0.009000000000000001,0.0,0.0
"10s,8c",,0.1,0.67,0.22,-7.45,254250,27.141,27.094,3.405,1.3259999999999998,0.9490000000000001,0.0,0.092,0.01,0.0,0.0
"10s,7c",,0.09,0.68,0.22,-8.28,171590,27.657999999999998,27.322999999999997,3.2070000000000003,1.3780000000000001,0.639,0.0,0.095,0.008,0.0,0.0
"10s,6c",,0.09,0.68,0.22,-8.96,103390,28.253,27.089999999999996,3.251,1.3,0.315,0.0,0.091,0.015,0.0,0.0
"10s,5c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10s,4c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10s,3c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10s,2c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
