Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"As,Ac",,1.0,0.0,0.0,62.53,7253040,0.0,71.75,16.175,10.822,0.0,0.0,1.012,0.241,0.0,0.0
"As,Kc",,0.35,0.58,0.06,-5.38,461640,53.581,40.266999999999996,4.101,1.627,0.321,0.0,0.08800000000000001,0.015,0.0,0.0
"As,Qc",,0.35,0.58,0.06,-5.42,457320,53.566,40.355999999999995,4.087,1.587,0.303,0.0,0.087,0.013999999999999999,0.0,0.0
"As,Jc",,0.35,0.58,0.06,-5.4,459200,53.480000000000004,40.525,4.003,1.552,0.328,0.0,0.10200000000000001,0.01,0.0,0.0
"As,10c",,0.23,0.58,0.18,-10.07,-7440,53.49,40.285,4.138,1.6320000000000001,0.344,0.0,0.098,0.013,0.0,0.0
"As,9c",,0.22,0.58,0.18,-11.1,-110920,54.033,40.257,4.0809999999999995,1.525,0.0,0.0,0.094,0.01,0.0,0.0
"As,8c",,0.22,0.59,0.18,-11.04,-104320,54.010000000000005,40.182,4.066,1.627,0.0,0.0,0.108,0.006999999999999999,0.0,0.0
"As,7c",,0.22,0.59,0.18,-11.1,-111000,54.064,40.258,4.024,1.5650000000000002,0.0,0.0,0.077,0.012,0.0,0.0
"As,6c",,0.23,0.58,0.18,-10.81,-81440,53.474999999999994,40.83,4.05,1.54,0.0,0.0,0.091,0.013999999999999999,0.0,0.0
"As,5c",,0.23,0.7,0.06,-14.99,-499240,53.162,40.737,4.102,1.5879999999999999,0.313,0.0,0.08499999999999999,0.013,0.0,0.0
"As,4c",,0.23,0.7,0.06,-15.32,-533000,53.676,40.29,4.074,1.551,0.32,0.0,0.08099999999999999,0.008,0.0,0.0
"As,3c",,0.23,0.7,0.06,-15.26,-526760,53.662,40.164,4.169,1.587,0.32299999999999995,0.0,0.086,0.009000000000000001,0.0,0.0
"As,2c",,0.23,0.7,0.06,-15.16,-516960,53.626,40.358,3.9960000000000004,1.5559999999999998,0.363,0.0,0.08800000000000001,0.013,0.0,0.0
"Ks,Kc",,1.0,0.0,0.0,62.54,7254280,0.0,71.634,16.320999999999998,10.786999999999999,0.0,0.0,1.02,0.23800000000000002,0.0,0.0
"Ks,Qc",,0.35,0.58,0.06,-4.67,531920,53.013999999999996,40.495,4.1129999999999995,1.5709999999999997,0.697,0.0,0.101,0.009000000000000001,0.0,0.0
"Ks,Jc",,0.36,0.58,0.06,-4.61,538720,53.246,40.322,4.130000000000001,1.5879999999999999,0.608,0.0,0.094,0.012,0.0,0.0
"Ks,10c",,0.23,0.58,0.18,-9.73,26640,53.103,40.589,4.024,1.5699999999999998,0.614,0.0,0.091,0.009000000000000001,0.0,0.0
"Ks,9c",,0.23,0.58,0.18,-10.5,-50880,53.859,40.160000000000004,3.972,1.5709999999999997,0.333,0.0,0.096,0.009000000000000001,0.0,0.0
"Ks,8c",,0.22,0.58,0.18,-10.93,-93120,53.818999999999996,40.355000000000004,4.1290000000000004,1.5939999999999999,0.0,0.0,0.091,0.012,0.0,0.0
"Ks,7c",,0.22,0.58,0.18,-11.11,-112000,53.910000000000004,40.471000000000004,4.0169999999999995,1.508,0.0,0.0,0.084,0.01,0.0,0.0
"Ks,6c",,0.22,0.58,0.18,-11.06,-106680,53.998000000000005,40.288000000000004,4.031,1.5859999999999999,0.0,0.0,0.087,0.01,0.0,0.0
"Ks,5c",,0.22,0.71,0.06,-16.01,-602000,53.93599999999999,40.269,4.088,1.6199999999999999,0.0,0.0,0.078,0.009000000000000001,0.0,0.0
"Ks,4c",,0.22,0.71,0.06,-15.99,-599160,53.70700000000001,40.719,3.927,1.545,0.0,0.0,0.086,0.016,0.0,0.0
"Ks,3c",,0.22,0.71,0.06,-16.14,-614320,53.906,40.405,4.07,1.529,0.0,0.0,0.08499999999999999,0.005,0.0,0.0
"Ks,2c",,0.22,0.71,0.06,-15.95,-595400,53.942,40.337,4.046,1.567,0.0,0.0,0.101,0.006999999999999999,0.0,0.0
"Qs,Qc",,1.0,0.0,0.0,62.55,7255760,0.0,72.015,16.083,10.641,0.0,0.0,1.005,0.256,0.0,0.0
"Qs,Jc",,0.36,0.57,0.06,-4.19,580400,52.827,40.394999999999996,4.1209999999999996,1.5890000000000002,0.9730000000000001,0.0,0.086,0.009000000000000001,0.0,0.0
"Qs,10c",,0.23,0.58,0.18,-9.27,72600,53.144000000000005,40.154,4.1290000000000004,1.5310000000000001,0.9520000000000001,0.0,0.082,0.008,0.0,0.0
"Qs,9c",,0.23,0.57,0.18,-9.43,56520,53.003,40.521,4.109999999999999,1.601,0.662,0.0,0.095,0.008,0.0,0.0
"Qs,8c",,0.23,0.58,0.18,-10.2,-20440,53.498999999999995,40.391,4.061,1.591,0.349,0.0,0.096,0.013,0.0,0.0
"Qs,7c",,0.22,0.59,0.18,-11.2,-121000,54.095000000000006,40.243,4.005,1.5610000000000002,0.0,0.0,0.09,0.006,0.0,0.0
"Qs,6c",,0.22,0.59,0.18,-11.17,-117840,53.99699999999999,40.35,3.9899999999999998,1.55,0.0,0.0,0.104,0.009000000000000001,0.0,0.0
"Qs,5c",,0.22,0.71,0.06,-15.91,-591680,53.847,40.510000000000005,3.952,1.587,0.0,0.0,0.091,0.013,0.0,0.0
"Qs,4c",,0.22,0.71,0.06,-16.11,-611160,53.97,40.444,4.016,1.48,0.0,0.0,0.078,0.012,0.0,0.0
"Qs,3c",,0.22,0.71,0.06,-15.91,-592080,54.020999999999994,40.251,4.026,1.5939999999999999,0.0,0.0,0.096,0.012,0.0,0.0
"Qs,2c",,0.22,0.71,0.06,-15.8,-580160,53.822,40.406,4.059,1.606,0.0,0.0,0.094,0.013,0.0,0.0
"Js,Jc",,1.0,0.0,0.0,62.54,7254520,0.0,71.848,16.088,10.863,0.0,0.0,0.943,0.258,0.0,0.0
"Js,10c",,0.24,0.57,0.18,-8.51,148720,52.81400000000001,40.148,4.0280000000000005,1.595,1.315,0.0,0.092,0.008,0.0,0.0
"Js,9c",,0.23,0.57,0.18,-8.93,106880,52.708999999999996,40.571,4.01,1.606,1.0070000000000001,0.0,0.08800000000000001,0.009000000000000001,0.0,0.0
"Js,8c",,0.23,0.58,0.18,-9.72,27040,52.995999999999995,40.638000000000005,4.013,1.5859999999999999,0.672,0.0,0.08800000000000001,0.006999999999999999,0.0,0.0
"Js,7c",,0.23,0.58,0.18,-10.28,-28400,53.398999999999994,40.554,4.054,1.542,0.331,0.0,0.108,0.012,0.0,0.0
"Js,6c",,0.23,0.58,0.18,-11.02,-102560,53.601,40.787,4.039000000000001,1.468,0.0,0.0,0.099,0.006,0.0,0.0
"Js,5c",,0.22,0.71,0.06,-15.99,-599120,53.866,40.504,3.961,1.572,0.0,0.0,0.084,0.013,0.0,0.0
"Js,4c",,0.22,0.71,0.06,-15.96,-596600,54.062,40.335,3.9539999999999997,1.536,0.0,0.0,0.099,0.013999999999999999,0.0,0.0
"Js,3c",,0.23,0.71,0.06,-15.91,-591720,53.867,40.42,4.088,1.549,0.0,0.0,0.066,0.01,0.0,0.0
"Js,2c",,0.22,0.7,0.06,-15.83,-583680,53.852,40.477999999999994,4.023000000000001,1.542,0.0,0.0,0.092,0.013,0.0,0.0
"10s,10c",,0.28,0.0,0.71,34.06,4406120,0.0,71.59400000000001,16.256,10.947,0.0,0.0,0.9440000000000001,0.259,0.0,0.0
"10s,9c",,0.11,0.57,0.3,-13.54,-354160,52.697,40.396,4.035,1.5010000000000001,1.287,0.0,0.07200000000000001,0.012,0.0,0.0
"10s,8c",,0.11,0.58,0.3,-13.9,-390680,53.001,40.277,3.998,1.6400000000000001,0.985,0.0,0.08499999999999999,0.013999999999999999,0.0,0.0
"10s,7c",,0.11,0.58,0.3,-14.67,-467240,53.473000000000006,40.245,3.9800000000000004,1.522,0.6649999999999999,0.0,0.10300000000000001,0.012,0.0,0.0
"10s,6c",,0.11,0.58,0.3,-15.25,-525320,53.476,40.538999999999994,3.972,1.5959999999999999,0.31,0.0,0.1,0.006999999999999999,0.0,0.0
"10s,5c",,0.1,0.71,0.18,-20.82,-1082880,53.92,40.323,4.091,1.568,0.0,0.0,0.087,0.011000000000000001,0.0,0.0
"10s,4c",,0.1,0.71,0.18,-20.73,-1073640,53.854,40.355000000000004,4.024,1.664,0.0,0.0,0.091,0.012,0.0,0.0
"10s,3c",,0.1,0.7,0.18,-20.65,-1066080,53.796,40.509,3.9829999999999997,1.6150000000000002,0.0,0.0,0.08,0.017,0.0,0.0
"10s,2c",,0.1,0.71,0.18,-20.78,-1078480,54.038,40.23,4.148000000000001,1.466,0.0,0.0,0.109,0.009000000000000001,0.0,0.0
"9s,9c",,0.28,0.0,0.71,33.61,4361520,0.0,71.89,16.107,10.768,0.0,0.0,0.996,0.23900000000000002,0.0,0.0
"9s,8c",,0.12,0.57,0.3,-13.07,-307680,52.233,40.662,4.0809999999999995,1.609,1.317,0.0,0.09,0.008,0.0,0.0
"9s,7c",,0.11,0.57,0.3,-13.96,-396360,52.908,40.419,3.997,1.583,0.9939999999999999,0.0,0.087,0.012,0.0,0.0
"9s,6c",,0.11,0.58,0.31,-14.72,-472120,53.225,40.515,3.92,1.5779999999999998,0.664,0.0,0.089,0.009000000000000001,0.0,0.0
"9s,5c",,0.11,0.7,0.18,-19.97,-997840,53.23,40.565,4.182,1.591,0.336,0.0,0.09,0.006,0.0,0.0
"9s,4c",,0.1,0.71,0.18,-20.72,-1072160,53.839000000000006,40.416000000000004,4.051,1.591,0.0,0.0,0.094,0.009000000000000001,0.0,0.0
"9s,3c",,0.1,0.7,0.18,-20.57,-1057200,53.661,40.400000000000006,4.2540000000000004,1.5779999999999998,0.0,0.0,0.1,0.006999999999999999,0.0,0.0
"9s,2c",,0.1,0.71,0.18,-20.81,-1081280,53.801,40.525,4.024,1.551,0.0,0.0,0.08800000000000001,0.011000000000000001,0.0,0.0
"8s,8c",,0.28,0.0,0.71,33.76,4376520,0.0,71.739,16.194,10.805,0.0,0.0,1.0290000000000001,0.233,0.0,0.0
"8s,7c",,0.11,0.57,0.3,-13.34,-334640,52.547,40.434,4.055000000000001,1.58,1.266,0.0,0.11100000000000002,0.006999999999999999,0.0,0.0
"8s,6c",,0.11,0.57,0.3,-13.95,-395200,53.03,40.217999999999996,4.132000000000001,1.564,0.959,0.0,0.08800000000000001,0.009000000000000001,0.0,0.0
"8s,5c",,0.11,0.7,0.18,-19.64,-964480,53.766000000000005,39.853,4.043,1.577,0.668,0.0,0.084,0.009000000000000001,0.0,0.0
"8s,4c",,0.11,0.7,0.18,-20.33,-1033840,53.632999999999996,40.464,4.024,1.439,0.35100000000000003,0.0,0.079,0.01,0.0,0.0
"8s,3c",,0.1,0.71,0.18,-20.86,-1086680,54.098,40.182,4.01,1.608,0.0,0.0,0.095,0.006999999999999999,0.0,0.0
"8s,2c",,0.1,0.71,0.18,-20.95,-1095320,54.066,40.345,3.903,1.6039999999999999,0.0,0.0,0.07100000000000001,0.011000000000000001,0.0,0.0
"7s,7c",,0.28,0.0,0.71,34.05,4405480,0.0,71.639,16.265,10.849,0.0,0.0,0.9939999999999999,0.253,0.0,0.0
"7s,6c",,0.11,0.57,0.3,-13.38,-338480,52.585,40.448,4.031,1.5,1.341,0.0,0.087,0.008,0.0,0.0
"7s,5c",,0.11,0.7,0.18,-18.81,-881360,53.016,40.258,4.03,1.5699999999999998,1.0170000000000001,0.0,0.093,0.016,0.0,0.0
