Player's hand,Other player's cards,Win %,Lose %,Push %,Total profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"14s,14c",,1.0,0.0,0.0,1564500,2564500,0.0,71.83,16.49,10.38,0.0,0.0,1.05,0.25,0.0,0.0
"14s,13c",,0.35,0.57,0.06,47380,1047380,52.82,41.3,3.9,1.6,0.27999999999999997,0.0,0.09,0.01,0.0,0.0
"14s,12c",,0.35,0.58,0.06,47720,1047720,52.92,41.24,4.01,1.37,0.36,0.0,0.08,0.02,0.0,0.0
"14s,11c",,0.35,0.57,0.06,49200,1049200,53.37,40.45,3.9800000000000004,1.71,0.37,0.0,0.12,0.0,0.0,0.0
"14s,10c",,0.23,0.58,0.17,-17510,982490,46.69,39.31,4.12,1.53,0.22999999999999998,0.0,0.1,0.03,0.0,0.0
"14s,9c",,0.21,0.61,0.17,-47300,952700,49.01,37.8,3.73,1.53,0.0,0.0,0.09,0.02,0.0,0.0
"14s,8c",,0.23,0.59,0.17,-23410,976590,47.660000000000004,37.95,4.37,1.79,0.0,0.0,0.06,0.02,0.0,0.0
"14s,7c",,0.21,0.6,0.18,-36060,963940,48.08,37.79,4.1000000000000005,1.6,0.0,0.0,0.13999999999999999,0.01,0.0,0.0
"14s,6c",,0.22,0.6,0.17,-41790,958210,48.77,38.080000000000005,4.18,1.52,0.0,0.0,0.08,0.0,0.0,0.0
"14s,5c",,0.19,0.75,0.04,-86860,913140,31.630000000000003,30.7,3.47,1.3299999999999998,0.0,0.0,0.1,0.01,0.0,0.0
"14s,4c",,0.19,0.76,0.04,-89800,910200,32.97,29.189999999999998,3.44,1.4200000000000002,0.0,0.0,0.12,0.0,0.0,0.0
"14s,3c",,0.18,0.76,0.05,-98230,901770,32.2,29.09,3.5999999999999996,1.38,0.0,0.0,0.03,0.0,0.0,0.0
"14s,2c",,0.18,0.76,0.04,-89560,910440,32.6,29.12,3.51,1.51,0.0,0.0,0.1,0.01,0.0,0.0
"13s,13c",,1.0,0.0,0.0,1543500,2543500,0.0,72.42,15.65,10.71,0.0,0.0,1.01,0.21,0.0,0.0
"13s,12c",,0.35,0.58,0.06,47740,1047740,53.32,40.1,4.36,1.47,0.67,0.0,0.08,0.0,0.0,0.0
"13s,11c",,0.35,0.58,0.06,38700,1038700,53.779999999999994,40.0,4.02,1.5699999999999998,0.54,0.0,0.09,0.0,0.0,0.0
"13s,10c",,0.23,0.58,0.17,-17140,982860,46.86,38.769999999999996,4.24,1.69,0.6,0.0,0.05,0.01,0.0,0.0
"13s,9c",,0.23,0.59,0.17,-24020,975980,47.65,38.33,4.46,1.52,0.32,0.0,0.1,0.0,0.0,0.0
"13s,8c",,0.22,0.59,0.17,-30150,969850,47.760000000000005,38.54,4.09,1.63,0.0,0.0,0.1,0.01,0.0,0.0
"13s,7c",,0.22,0.59,0.18,-25630,974370,47.839999999999996,38.74,3.8699999999999997,1.53,0.0,0.0,0.13,0.04,0.0,0.0
"13s,6c",,0.22,0.6,0.17,-40000,960000,48.17,38.32,4.109999999999999,1.49,0.0,0.0,0.04,0.01,0.0,0.0
"13s,5c",,0.19,0.76,0.04,-87840,912160,31.8,29.78,3.7900000000000005,1.21,0.0,0.0,0.15,0.0,0.0,0.0
"13s,4c",,0.18,0.76,0.05,-96950,903050,31.8,29.189999999999998,3.4799999999999995,1.49,0.0,0.0,0.09,0.0,0.0,0.0
"13s,3c",,0.19,0.76,0.05,-86620,913380,31.830000000000002,29.659999999999997,3.6999999999999997,1.47,0.0,0.0,0.04,0.01,0.0,0.0
"13s,2c",,0.19,0.76,0.04,-92790,907210,32.14,29.599999999999998,3.56,1.34,0.0,0.0,0.06999999999999999,0.01,0.0,0.0
"12s,12c",,1.0,0.0,0.0,1542900,2542900,0.0,71.89999999999999,16.009999999999998,10.89,0.0,0.0,1.01,0.19,0.0,0.0
"12s,11c",,0.35,0.58,0.06,43540,1043540,53.86,39.739999999999995,3.91,1.4000000000000001,1.01,0.0,0.08,0.0,0.0,0.0
"12s,10c",,0.23,0.58,0.18,-18440,981560,47.29,38.129999999999995,4.41,1.6400000000000001,0.8200000000000001,0.0,0.09,0.0,0.0,0.0
