Player's hand,Other player's cards,Win %,Lose %,Push %,Total profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"14s,14c",,1.0,0.0,0.0,646720,1646720,0.0,70.78999999999999,16.400000000000002,11.33,0.0,0.0,1.17,0.31,0.0,0.0
"14s,13c",,0.34,0.59,0.06,-54720,945280,53.769999999999996,40.12,3.9899999999999998,1.6099999999999999,0.32,0.0,0.16999999999999998,0.02,0.0,0.0
"14s,12c",,0.35,0.58,0.06,-59280,940720,54.169999999999995,39.78,4.08,1.46,0.44,0.0,0.06999999999999999,0.0,0.0,0.0
"14s,11c",,0.35,0.58,0.06,-56400,943600,53.82,39.96,4.2299999999999995,1.59,0.33,0.0,0.06,0.01,0.0,0.0
"14s,10c",,0.22,0.59,0.18,-106880,893120,54.379999999999995,39.73,3.83,1.58,0.35000000000000003,0.0,0.11,0.02,0.0,0.0
"14s,9c",,0.23,0.58,0.18,-105760,894240,53.87,40.39,4.03,1.6099999999999999,0.0,0.0,0.06999999999999999,0.03,0.0,0.0
"14s,8c",,0.22,0.59,0.19,-110560,889440,53.53,40.9,3.7600000000000002,1.6400000000000001,0.0,0.0,0.15,0.02,0.0,0.0
"14s,7c",,0.22,0.58,0.19,-118360,881640,53.93,40.86,3.81,1.32,0.0,0.0,0.08,0.0,0.0,0.0
"14s,6c",,0.23,0.58,0.18,-104040,895960,53.31,40.65,4.31,1.6,0.0,0.0,0.13,0.0,0.0,0.0
"14s,5c",,0.23,0.7,0.06,-155880,844120,54.16,39.77,4.29,1.39,0.33,0.0,0.06,0.0,0.0,0.0
"14s,4c",,0.23,0.71,0.06,-157920,842080,53.92,40.69,3.4799999999999995,1.6,0.22999999999999998,0.0,0.06999999999999999,0.01,0.0,0.0
"14s,3c",,0.24,0.7,0.06,-148520,851480,53.11,40.67,4.569999999999999,1.3,0.25,0.0,0.1,0.0,0.0,0.0
"14s,2c",,0.23,0.7,0.06,-150360,849640,52.910000000000004,40.87,4.16,1.6199999999999999,0.35000000000000003,0.0,0.08,0.01,0.0,0.0
"13s,13c",,1.0,0.0,0.0,630200,1630200,0.0,72.39,15.98,10.299999999999999,0.0,0.0,1.03,0.3,0.0,0.0
"13s,12c",,0.36,0.58,0.06,-50680,949320,53.15,40.81,3.9,1.51,0.58,0.0,0.04,0.01,0.0,0.0
"13s,11c",,0.35,0.58,0.06,-49480,950520,53.0,40.64,4.2,1.49,0.61,0.0,0.04,0.02,0.0,0.0
"13s,10c",,0.23,0.58,0.19,-100080,899920,53.21,40.61,3.61,1.8599999999999999,0.64,0.0,0.06,0.01,0.0,0.0
"13s,9c",,0.23,0.58,0.18,-100720,899280,53.290000000000006,40.589999999999996,4.03,1.6199999999999999,0.38,0.0,0.08,0.01,0.0,0.0
"13s,8c",,0.23,0.59,0.18,-110880,889120,54.02,40.150000000000006,4.2700000000000005,1.48,0.0,0.0,0.06999999999999999,0.01,0.0,0.0
"13s,7c",,0.22,0.59,0.18,-113480,886520,54.24,40.07,4.3,1.3,0.0,0.0,0.06999999999999999,0.02,0.0,0.0
"13s,6c",,0.22,0.59,0.18,-114440,885560,54.410000000000004,39.83,4.02,1.6400000000000001,0.0,0.0,0.1,0.0,0.0,0.0
"13s,5c",,0.23,0.7,0.06,-153200,846800,53.5,40.44,4.32,1.66,0.0,0.0,0.06999999999999999,0.01,0.0,0.0
"13s,4c",,0.22,0.71,0.06,-155720,844280,53.480000000000004,40.56,4.29,1.53,0.0,0.0,0.11,0.03,0.0,0.0
"13s,3c",,0.22,0.71,0.06,-161720,838280,54.09,40.22,3.9,1.6400000000000001,0.0,0.0,0.15,0.0,0.0,0.0
"13s,2c",,0.23,0.7,0.05,-156480,843520,54.059999999999995,40.03,4.35,1.4200000000000002,0.0,0.0,0.13999999999999999,0.0,0.0,0.0
"12s,12c",,1.0,0.0,0.0,620200,1620200,0.0,71.69,16.73,10.4,0.0,0.0,0.95,0.22999999999999998,0.0,0.0
"12s,11c",,0.36,0.57,0.06,-39400,960600,52.190000000000005,41.05,3.9699999999999998,1.68,1.0,0.0,0.1,0.01,0.0,0.0
"12s,10c",,0.24,0.57,0.18,-90240,909760,53.26,40.04,4.0,1.58,1.03,0.0,0.09,0.0,0.0,0.0
"12s,9c",,0.23,0.58,0.18,-94720,905280,53.25,40.26,4.09,1.53,0.6799999999999999,0.0,0.18,0.01,0.0,0.0
"12s,8c",,0.23,0.58,0.18,-108400,891600,53.949999999999996,40.32,3.9,1.44,0.32,0.0,0.06,0.01,0.0,0.0
"12s,7c",,0.23,0.58,0.18,-103960,896040,53.300000000000004,40.88,4.16,1.58,0.0,0.0,0.06,0.02,0.0,0.0
"12s,6c",,0.22,0.58,0.19,-105720,894280,53.32,41.21,3.7600000000000002,1.58,0.0,0.0,0.1,0.03,0.0,0.0
"12s,5c",,0.23,0.7,0.06,-153880,846120,53.04,41.33,3.91,1.63,0.0,0.0,0.08,0.01,0.0,0.0
"12s,4c",,0.22,0.71,0.06,-162120,837880,53.65,40.58,4.1000000000000005,1.6,0.0,0.0,0.06,0.01,0.0,0.0
"12s,3c",,0.22,0.71,0.06,-166280,833720,54.059999999999995,40.78,3.62,1.4200000000000002,0.0,0.0,0.11,0.01,0.0,0.0
"12s,2c",,0.22,0.71,0.06,-157440,842560,53.290000000000006,40.98,4.03,1.58,0.0,0.0,0.09,0.03,0.0,0.0
